TestID,RepeatID,Volume_Fraction,Strain,Stress,Parallelism,Density,Void_Fraction,Aspect_Ratio
0,1,0,0.036551339,47.12524487,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.037109375,48.2903196,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.037444196,49.33179175,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.038225446,50.64367679,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.038616071,51.78706335,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.039229911,52.88477308,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.03984375,54.04269548,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.040345982,55.08717291,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.040848214,56.24028574,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.04140625,57.44319708,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.041964286,58.40314335,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.042354911,59.52389166,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.043136161,60.78540306,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.043694196,61.73637862,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.044252232,62.81032806,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.044698661,63.78561646,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.045368304,64.8886545,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.045758929,65.81636594,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.046316964,66.82158307,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.046875,67.86644955,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.047544643,68.89725382,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.047991071,69.87341619,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.0484375,70.86224243,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.048995536,71.90042738,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.049665179,72.79438726,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.050223214,73.64368521,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.050613839,74.49968162,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.051116071,75.48015736,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.051841518,76.37843627,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.05234375,77.25239666,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.052901786,78.01088227,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.053459821,78.91824465,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.054129464,79.67021789,0.692594895,1.158005913,0.15%,0.601746138
